"","week","habit","year","total","goal","type_norm","group","unit","met_goal","goal_dist","goal_group"
"76",10,"Star Item Time",2026,0.83,2,0,"Fulfill","hr",0,-0.585,"middle"
"77",10,"Spanish Practice",2026,0,2,0,"Fulfill","count",0,-1,"bottom"
"78",10,"Exposure Therapy",2026,0,4,0,"Fulfill","count",0,-1,"bottom"
"79",10,"Sabbath",2026,0,1,0,"Fulfill","count",0,-1,"bottom"
"80",10,"Airplane Time",2026,0,30,0,"Fulfill","min",0,-1,"bottom"
"81",10,"Creative Time",2026,0,5,0,"Fulfill","hr",0,-1,"bottom"
"82",10,"Stranger Socializing",2026,4,3,0,"Social","hr",1,0.333333333333333,"over"
"83",10,"Friend Quality",2026,7.5,3,0,"Social","hr",1,1.5,"v_over"
"84",10,"Active Zone Minutes",2026,60,50,0,"Health","min",1,0.2,"over"
"85",10,"Meal Prep",2026,3.93,7,0,"Health","hr",0,-0.438571428571429,"middle"
"86",10,"Lift",2026,2,3,0,"Health","count",0,-0.333333333333333,"middle"
"87",10,"Finding Roommates",2026,2,1.5,0,"Family","hr",1,0.333333333333333,"over"
"88",10,"Helping Momo",2026,1,3,0,"Family","hr",0,-0.666666666666667,"middle"
"89",10,"Convo with Dad",2026,0,1,0,"Family","count",0,-1,"bottom"
"90",10,"Family Help",2026,0,4,0,"Family","hr",0,-1,"bottom"
"91",10,"Eating Meals",2026,0,10,1,"Minimize","hr",0,-1,"bottom"
"92",10,"FT Routine",2026,0,6,1,"Minimize","hr",0,-1,"bottom"
"93",11,"Math",2026,10.67,15,0,"Work","hr",0,-0.288666666666667,"middle"
"94",11,"Non-Math",2026,3.17,3,0,"Work","hr",1,0.0566666666666666,"met"
"95",11,"Library Trips",2026,0,3,0,"Work","count",0,-1,"bottom"
"96",11,"Tutoring JB",2026,1.25,3,0,"Work","hr",0,-0.583333333333333,"middle"
"97",11,"Days I did enough",2026,0,3,0,"Work","count",0,-1,"bottom"
